abbr,bottom_left,top_right,osm_file
chi,"(41.644531, -87.940101)","(42.0230396, -87.5240812)",north-america-latest.osm.pbf
la,"(33.659541, -118.6681779)","(34.337306, -118.1552947)",north-america-latest.osm.pbf
dc,"(38.7916303, -77.1197949)","(38.995968, -76.909366)",north-america-latest.osm.pbf
nyc,"(40.476578, -74.258843)","(40.91763, -73.700233)",north-america-latest.osm.pbf
aus,"(30.179010799999986, -97.87914529999999)","(30.390168999999993, -97.606218)",north-america-latest.osm.pbf
bos,"(42.2002534, -71.2182912)","(42.5202534, -70.8982912)",north-america-latest.osm.pbf
sea,"(47.5355029, -122.43583580000002)","(47.730591999999994, -122.22292999999999)",north-america-latest.osm.pbf
